symbol,name,sector
III.L,3i,Financial services
ADM.L,Admiral Group,Insurance
AAF.L,Airtel Africa,Telecommunications services
ALW.L,Alliance Witan,Investment Trusts
AAL.L,Anglo American plc,Mining
ANTO.L,Antofagasta plc,Mining
AHT.L,Ashtead Group,Support services
ABF.L,Associated British Foods,Food & tobacco
AZN.L,AstraZeneca,Pharmaceuticals & biotechnology
AUTO.L,Auto Trader Group,Media
AV.L,Aviva,Life insurance
BAB.L,Babcock International,Aerospace & defence
BA.L,BAE Systems,Aerospace & defence
BARC.L,Barclays,Banks
BTRW.L,Barratt Redrow,Household goods & home construction
BEZ.L,Beazley,Insurance
BKG.L,Berkeley Group Holdings,Household goods & home construction
BP.L,BP,Oil & gas producers
BATS.L,British American Tobacco,Tobacco
BT-A.L,BT Group,Telecommunications services
BNZL.L,Bunzl,Support services
BRBY.L,Burberry Group,Personal goods
CNA.L,Centrica,Multiline utilities
CCEP.L,Coca-Cola Europacific Partners,Beverages
CCH.L,Coca-Cola HBC,Beverages
CPG.L,Compass Group,Support services
CTEC.L,Convatec,Health care equipment & supplies
CRDA.L,Croda International,Chemicals
DCC.L,DCC plc,Support services
DGE.L,Diageo,Beverages
DPLM.L,Diploma,Industrial Support services
EDV.L,Endeavour Mining,Precious Metals and Mining
ENT.L,Entain,Travel & leisure
EZJ.L,EasyJet,Travel & leisure
EXPN.L,Experian,Support services
FCIT.L,F & C Investment Trust,Collective investments
FRES.L,Fresnillo plc,Mining
GAW.L,Games Workshop,Leisure Goods
GLEN.L,Glencore,Mining
GSK.L,GSK plc,Pharmaceuticals & biotechnology
HLN.L,Haleon,Pharmaceuticals & biotechnology
HLMA.L,Halma plc,Electronic equipment & parts
HIK.L,Hikma Pharmaceuticals,Pharmaceuticals & biotechnology
HSX.L,Hiscox,Non-life Insurance
HWDN.L,Howdens Joinery,Homebuilding & construction supplies
HSBA.L,HSBC,Banks
ICG.L,ICG,Financial services
IHG.L,IHG Hotels & Resorts,Travel & leisure
IMI.L,IMI,Industrial engineering
IMB.L,Imperial Brands,Tobacco
INF.L,Informa,Media
IAG.L,International Airlines Group,Travel & leisure
ITRK.L,Intertek,Support services
JD.L,JD Sports,General retailers
KGF.L,Kingfisher plc,Retailers
LAND.L,Land Securities,Real estate investment trusts
LGEN.L,Legal & General,Life insurance
LLOY.L,Lloyds Banking Group,Banks
LMP.L,LondonMetric Property,Real Estate Investment Trusts
LSEG.L,London Stock Exchange Group,Financial services
MNG.L,M&G,Financial services
MKS.L,Marks & Spencer,Food & drug retailing
MRO.L,Melrose Industries,Aerospace & defence
MTLN.L,Metlen Energy & Metals,Multiline utilities
MNDI.L,Mondi,Containers & packaging
NG.L,National Grid plc,Multiline utilities
NWG.L,NatWest Group,Banks
NXT.L,Next plc,General retailers
PSON.L,Pearson plc,Media
PSH.L,Pershing Square Holdings,Financial services
PSN.L,Persimmon,Household goods & home construction
PHNX.L,Phoenix Group,Life insurance
PCT.L,Polar Capital Technology Trust,Investment trusts
PRU.L,Prudential plc,Life insurance
RKT.L,Reckitt,Household goods & home construction
REL.L,RELX,Media
RTO.L,Rentokil Initial,Support services
RMV.L,Rightmove,Media
RIO.L,Rio Tinto,Mining
RR.L,Rolls-Royce Holdings,Aerospace & defence
SGE.L,Sage Group,Software & computer services
SBRY.L,Sainsbury's,Food & drug retailing
SDR.L,Schroders,Financial services
SMT.L,Scottish Mortgage Investment Trust,Collective investments
SGRO.L,Segro,Real estate investment trusts
SVT.L,Severn Trent,Multiline utilities
SHEL.L,Shell plc,Oil & gas producers
SMIN.L,Smiths Group,General industrials
SN.L,Smith & Nephew,Health care equipment & supplies
SPX.L,Spirax Group,Industrial engineering
SSE.L,SSE plc,Electrical utilities & independent power producers
STAN.L,Standard Chartered,Banks
STJ.L,St. James's Place,Financial services
TSCO.L,Tesco,Food & drug retailing
ULVR.L,Unilever,Personal goods
UU.L,United Utilities,Multiline utilities
VOD.L,Vodafone Group,Mobile telecommunications
WEIR.L,Weir Group,Industrial goods and services
WTB.L,Whitbread,Retail hospitality
WPP.L,WPP,Media
3IN.L,3i Infrastructure,Financial Services
FOUR.L,4imprint,Media
ABDN.L,Aberdeen Group,Financial Services
ASL.L,Aberforth Smaller Companies Trust,Investment Trusts
AAS.L,Abrdn Asia Focus,Investment Trusts
ALFA.L,Alfa Financial Software,Software and Computer Services
ATT.L,Allianz Technology Trust,Investment Trusts
AEP.L,Anglo-Eastern Plantations,Food Producers
AO.L,AO World,Retail
ASHM.L,Ashmore Group,Financial Services
AIE.L,Ashoka India Equity Investment Trust,Investment Trusts
AML.L,Aston Martin Lagonda,Automobiles & Parts
ATYM.L,Atalaya Mining,Industrial Metals and Mining
AGT.L,AVI Global Trust,Investment Trusts
AVON.L,Avon Technologies,Industrial Goods and Services
BME.L,B&M,Retailers
BGFD.L,Baillie Gifford Japan Trust,Investment Trusts
USA.L,Baillie Gifford US Growth Trust,Investment Trusts
BAKK.L,Bakkavör,Food & Tobacco
BBY.L,Balfour Beatty,Construction & Materials
BCG.L,Baltic Classifieds,Consumer Digital Services
BNKR.L,Bankers Investment Trust,Investment Trusts
BAG.L,A.G. Barr,Beverages
AJB.L,AJ Bell,Financial Services
BWY.L,Bellway,Home Construction
BHMG.L,BH Macro,Hedge Funds
BYG.L,Big Yellow Group,Real Estate Investment Trusts
BPCR.L,Biopharma Credit,Investment Trusts
BRGE.L,BlackRock Greater Europe Investment Trust,Investment Trusts
BRSC.L,BlackRock Smaller Companies Trust,Equity Investments
THRG.L,BlackRock Throgmorton Trust,Equity Investments
BRWM.L,BlackRock World Mining Trust,Investment Trusts
BSIF.L,Bluefield Solar Income Fund,Investment Trusts
BOY.L,Bodycote,Industrial Engineering
BREE.L,Breedon Group,Construction & Materials
BPT.L,Bridgepoint Group,Financial Services
BLND.L,British Land,Real Estate
BUT.L,Brunner Investment Trust,Investment Trusts
BYIT.L,Bytes Technology Group,Aerospace & Defence
CCR.L,C&C Group,Food & Tobacco
CLDN.L,Caledonia Investments,Investment Trusts
CGT.L,Capital Gearing Trust,Investment Trusts
CCL.L,Carnival Corporation & plc,Travel & Leisure
CWR.L,Ceres Power,Alternative Energy
CHG.L,Chemring Group,Aerospace & Defence
CSN.L,Chesnara,Life Insurance
CHRY.L,Chrysalis Investments,Investment Trusts
CTY.L,City of London Investment Trust,Investment Trusts
CKN.L,Clarkson,Industrial Transportation
CBG.L,Close Brothers Group,Financial Services
CMCX.L,CMC Markets,Financial Services
COA.L,Coats Group,Consumer Staples
CCC.L,Computacenter,Software & Computer Services
CWK.L,Cranswick,Food Producers
CURY.L,Currys,Retailers
DLN.L,Derwent London,Real Estate Investment Trusts
DSCV.L,discoverIE,Support Services
DEC.L,Diversified Energy,Energy
DOM.L,Domino's Pizza,Travel & Leisure
DWL.L,Dowlais Group,Automobiles & Parts
DRX.L,Drax Group,Electricity
DOCS.L,Dr. Martens,Retailers
DNLM.L,Dunelm Group,Retailers
EDIN.L,Edinburgh Investment Trust,Investment Trusts
EWI.L,Edinburgh Worldwide Investment Trust,Investment Trusts
ELM.L,Elementis,Chemicals
ESP.L,Empiric Student Property,Real estate
ENOG.L,Energean,Oil & Gas Producers
EOT.L,European Opportunities Trust,Investment Trusts
ESCT.L,European Smaller Companies Trust,Investment Trusts
FCSS.L,Fidelity China Special Situations,Investment Trusts
FEML.L,Fidelity Emerging Markets,Investment Trusts
FEV.L,Fidelity European Trust,Investment Trusts
FSV.L,Fidelity Special Values,Investment Trusts
FGT.L,Finsbury Growth & Income Trust,Equity Investments
FGP.L,FirstGroup,Travel & Leisure
FGEN.L,Foresight Environmental Infrastructure,Investment Trusts
FSG.L,Foresight Group,Investment Banking and Brokerage Services
FSFL.L,Foresight Solar Fund,Collective Investments
FRAS.L,Frasers Group,Retailers
GFRD.L,Galliford Try,Construction
FUTR.L,Future,Media
GAMA.L,Gamma Communications,Telecommunications
GCP.L,GCP Infrastructure Investments,General Financial
GEN.L,Genuit Group,Construction & Materials
GNS.L,Genus,Pharmaceuticals & Biotechnology
GSCT.L,Global Smaller Companies Trust,Investment Trusts
GDWN.L,Goodwin,General Industrials
GFTU.L,Grafton Group,Support Services
GRI.L,Grainger,Real Estate Investment & Services
