symbol,name,sector
AAPL,Apple Inc.,Information Technology
MSFT,Microsoft Corporation,Information Technology
AMZN,Amazon.com Inc.,Consumer Discretionary
GOOGL,Alphabet Inc. Class A,Communication Services
NVDA,NVIDIA Corporation,Information Technology
TSLA,Tesla Inc.,Consumer Discretionary
F,Ford Motor Company,Consumer Discretionary
XOM,Exxon Mobil Corporation,Energy
GE,General Electric Company,Industrials
BB,BlackBerry Limited,Information Technology
GME,GameStop Corp.,Consumer Discretionary
MMM,3M Company,Industrials
SPY,SPDR S&P 500 ETF Trust,ETF
